i,approximation,error_percent
1,-4.5000000000,110211.3695188992
2,10.6250000000,259885.1780307342
3,-17.1041666667,418625.1591435936
4,21.0234375000,514326.5544711072
5,-20.9169270833,511920.3305050637
6,17.5284071181,428805.9807230929
7,-12.6786411830,310336.1209561731
8,8.0887045240,197824.0739483223
9,-4.6024511859,112718.2673822027
10,2.3776844545,58080.0203495861
11,-1.1123833657,27319.1235163083
12,0.4872310519,11822.1507555600
13,-0.1895288940,4737.6191286920
14,0.0763410848,1768.0047544070
15,-0.0211445741,617.3906693960
16,0.0123661211,202.5890075363
17,0.0015244256,62.6985350006
18,0.0048371659,18.3615474412
19,0.0038782148,5.1032132656
20,0.0041419263,1.3495959288
21,0.0040728590,0.3404255269
