time,approximation,exact
0.100000,98.000000,98.019867
0.200000,96.040000,96.078944
0.300000,94.119200,94.176453
0.400000,92.236816,92.311635
0.500000,90.392080,90.483742
0.600000,88.584238,88.692044
0.700000,86.812553,86.935824
0.800000,85.076302,85.214379
0.900000,83.374776,83.527021
1.000000,81.707281,81.873075
1.100000,80.073135,80.251880
1.200000,78.471672,78.662786
1.300000,76.902239,77.105159
1.400000,75.364194,75.578374
1.500000,73.856910,74.081822
1.600000,72.379772,72.614904
1.700000,70.932177,71.177032
1.800000,69.513533,69.767633
1.900000,68.123262,68.386141
2.000000,66.760797,67.032005
2.100000,65.425581,65.704682
2.200000,64.117070,64.403642
2.300000,62.834728,63.128365
2.400000,61.578034,61.878339
2.500000,60.346473,60.653066
2.600000,59.139544,59.452055
2.700000,57.956753,58.274825
2.800000,56.797618,57.120906
2.900000,55.661665,55.989837
3.000000,54.548432,54.881164
3.100000,53.457463,53.794444
3.200000,52.388314,52.729242
3.300000,51.340548,51.685133
3.400000,50.313737,50.661699
3.500000,49.307462,49.658530
3.600000,48.321313,48.675226
3.700000,47.354887,47.711392
3.800000,46.407789,46.766643
3.900000,45.479633,45.840601
4.000000,44.570040,44.932896
4.100000,43.678640,44.043165
4.200000,42.805067,43.171052
4.300000,41.948965,42.316208
4.400000,41.109986,41.478291
4.500000,40.287786,40.656966
4.600000,39.482031,39.851904
4.700000,38.692390,39.062784
4.800000,37.918542,38.289289
4.900000,37.160171,37.531110
5.000000,36.416968,36.787944
5.100000,35.688629,36.059494
5.200000,34.974856,35.345468
5.300000,34.275359,34.645581
5.400000,33.589852,33.959553
5.500000,32.918055,33.287108
5.600000,32.259694,32.627979
5.700000,31.614500,31.981902
5.800000,30.982210,31.348618
5.900000,30.362566,30.727874
6.000000,29.755314,30.119421
6.100000,29.160208,29.523017
6.200000,28.577004,28.938422
6.300000,28.005464,28.365403
6.400000,27.445354,27.803730
6.500000,26.896447,27.253179
6.600000,26.358518,26.713530
6.700000,25.831348,26.184567
6.800000,25.314721,25.666078
6.900000,24.808427,25.157855
7.000000,24.312258,24.659696
7.100000,23.826013,24.171402
7.200000,23.349493,23.692776
7.300000,22.882503,23.223627
7.400000,22.424853,22.763769
7.500000,21.976356,22.313016
7.600000,21.536829,21.871189
7.700000,21.106092,21.438110
7.800000,20.683970,21.013607
7.900000,20.270291,20.597510
8.000000,19.864885,20.189652
8.100000,19.467587,19.789870
8.200000,19.078236,19.398004
8.300000,18.696671,19.013898
8.400000,18.322737,18.637398
8.500000,17.956283,18.268352
8.600000,17.597157,17.906615
8.700000,17.245214,17.552040
8.800000,16.900310,17.204486
8.900000,16.562303,16.863815
9.000000,16.231057,16.529889
9.100000,15.906436,16.202575
9.200000,15.588307,15.881743
9.300000,15.276541,15.567263
9.400000,14.971011,15.259011
9.500000,14.671590,14.956862
9.600000,14.378158,14.660696
9.700000,14.090595,14.370395
9.800000,13.808783,14.085842
9.900000,13.532608,13.806924
10.000000,13.261956,13.533528
10.100000,12.996716,13.265547
10.200000,12.736782,13.002871
10.300000,12.482047,12.745397
10.400000,12.232406,12.493021
10.500000,11.987757,12.245643
10.600000,11.748002,12.003163
10.700000,11.513042,11.765484
10.800000,11.282781,11.532512
10.900000,11.057126,11.304153
11.000000,10.835983,11.080316
11.100000,10.619264,10.860911
11.200000,10.406878,10.645850
11.300000,10.198741,10.435048
11.400000,9.994766,10.228421
11.500000,9.794871,10.025884
11.600000,9.598973,9.827359
11.700000,9.406994,9.632764
11.800000,9.218854,9.442022
11.900000,9.034477,9.255058
12.000000,8.853787,9.071795
12.100000,8.676712,8.892162
12.200000,8.503177,8.716085
12.300000,8.333114,8.543495
12.400000,8.166451,8.374323
12.500000,8.003122,8.208500
12.600000,7.843060,8.045961
12.700000,7.686199,7.886640
12.800000,7.532475,7.730474
12.900000,7.381825,7.577400
13.000000,7.234189,7.427358
13.100000,7.089505,7.280286
13.200000,6.947715,7.136127
13.300000,6.808761,6.994822
13.400000,6.672585,6.856315
13.500000,6.539134,6.720551
13.600000,6.408351,6.587475
13.700000,6.280184,6.457035
13.800000,6.154580,6.329177
13.900000,6.031489,6.203851
14.000000,5.910859,6.081006
14.100000,5.792642,5.960594
14.200000,5.676789,5.842567
14.300000,5.563253,5.726876
14.400000,5.451988,5.613476
14.500000,5.342948,5.502322
14.600000,5.236089,5.393369
14.700000,5.131368,5.286573
14.800000,5.028740,5.181892
14.900000,4.928165,5.079283
15.000000,4.829602,4.978707
15.100000,4.733010,4.880122
15.200000,4.638350,4.783489
15.300000,4.545583,4.688770
15.400000,4.454671,4.595926
15.500000,4.365578,4.504920
15.600000,4.278266,4.415717
15.700000,4.192701,4.328280
15.800000,4.108847,4.242574
15.900000,4.026670,4.158566
16.000000,3.946137,4.076220
16.100000,3.867214,3.995506
16.200000,3.789870,3.916390
16.300000,3.714072,3.838840
16.400000,3.639791,3.762826
16.500000,3.566995,3.688317
16.600000,3.495655,3.615283
16.700000,3.425742,3.543696
16.800000,3.357227,3.473526
16.900000,3.290083,3.404745
17.000000,3.224281,3.337327
17.100000,3.159795,3.271243
17.200000,3.096599,3.206469
17.300000,3.034667,3.142976
17.400000,2.973974,3.080741
17.500000,2.914495,3.019738
17.600000,2.856205,2.959944
17.700000,2.799081,2.901333
17.800000,2.743099,2.843882
17.900000,2.688237,2.787570
18.000000,2.634472,2.732372
18.100000,2.581783,2.678268
18.200000,2.530147,2.625234
18.300000,2.479544,2.573251
18.400000,2.429953,2.522297
18.500000,2.381354,2.472353
18.600000,2.333727,2.423397
18.700000,2.287053,2.375410
18.800000,2.241312,2.328374
18.900000,2.196485,2.282269
19.000000,2.152556,2.237077
19.100000,2.109505,2.192780
19.200000,2.067314,2.149360
19.300000,2.025968,2.106800
19.400000,1.985449,2.065083
19.500000,1.945740,2.024191
19.600000,1.906825,1.984109
19.700000,1.868688,1.944821
19.800000,1.831315,1.906311
19.900000,1.794688,1.868564
20.000000,1.758795,1.831564
20.100000,1.723619,1.795296
20.200000,1.689146,1.759747
20.300000,1.655363,1.724902
20.400000,1.622256,1.690747
20.500000,1.589811,1.657268
20.600000,1.558015,1.624451
20.700000,1.526855,1.592285
20.800000,1.496317,1.560756
20.900000,1.466391,1.529851
21.000000,1.437063,1.499558
21.100000,1.408322,1.469864
21.200000,1.380156,1.440759
21.300000,1.352552,1.412230
21.400000,1.325501,1.384266
21.500000,1.298991,1.356856
21.600000,1.273012,1.329988
21.700000,1.247551,1.303653
21.800000,1.222600,1.277839
21.900000,1.198148,1.252536
22.000000,1.174185,1.227734
22.100000,1.150702,1.203423
22.200000,1.127688,1.179594
22.300000,1.105134,1.156236
22.400000,1.083031,1.133341
22.500000,1.061371,1.110900
22.600000,1.040143,1.088902
22.700000,1.019340,1.067341
22.800000,0.998953,1.046206
22.900000,0.978974,1.025490
23.000000,0.959395,1.005184
23.100000,0.940207,0.985280
23.200000,0.921403,0.965770
23.300000,0.902975,0.946646
23.400000,0.884915,0.927901
23.500000,0.867217,0.909528
23.600000,0.849873,0.891518
23.700000,0.832875,0.873865
23.800000,0.816218,0.856561
23.900000,0.799893,0.839600
24.000000,0.783895,0.822975
24.100000,0.768218,0.806679
24.200000,0.752853,0.790705
24.300000,0.737796,0.775048
24.400000,0.723040,0.759701
24.500000,0.708579,0.744658
24.600000,0.694408,0.729913
24.700000,0.680520,0.715460
24.800000,0.666909,0.701293
24.900000,0.653571,0.687406
25.000000,0.640500,0.673795
