time,approximation,exact
0.0,100.000000,100.000000
0.100000,98.000000,98.019867
0.200000,96.080000,96.078944
0.300000,94.156800,94.176453
0.400000,92.313728,92.311635
0.500000,90.464251,90.483742
0.600000,88.695158,88.692044
0.700000,86.916445,86.935824
0.800000,85.218500,85.214379
0.900000,83.507705,83.527021
1.000000,81.878192,81.873075
1.100000,80.232577,80.251880
1.200000,78.668889,78.662786
1.300000,77.085821,77.105159
1.400000,75.585456,75.578374
1.500000,74.062403,74.081822
1.600000,72.622960,72.614904
1.700000,71.157485,71.177032
1.800000,69.776661,69.767633
1.900000,68.366418,68.386141
2.000000,67.042004,67.032005
2.100000,65.684738,65.704682
2.200000,64.414614,64.403642
2.300000,63.108154,63.128365
2.400000,61.890288,61.878339
2.500000,60.632542,60.653066
2.600000,59.464986,59.452055
2.700000,58.253943,58.274825
2.800000,57.134829,57.120906
2.900000,55.968549,55.989837
3.000000,54.896087,54.881164
3.100000,53.772706,53.794444
3.200000,52.745179,52.729242
3.300000,51.662899,51.685133
3.400000,50.678663,50.661699
3.500000,49.635752,49.658530
3.600000,48.693233,48.675226
3.700000,47.688023,47.711392
3.800000,46.785712,46.766643
3.900000,45.816595,45.840601
4.000000,44.953048,44.932896
4.100000,44.018473,44.043165
4.200000,43.192309,43.171052
4.300000,42.290780,42.316208
4.400000,41.500678,41.478291
4.500000,40.630753,40.656966
4.600000,39.875448,39.851904
4.700000,39.035735,39.062784
4.800000,38.314018,38.289289
4.900000,37.503174,37.531110
5.000000,36.813891,36.787944
5.100000,36.030619,36.059494
5.200000,35.372666,35.345468
5.300000,34.615712,34.645581
5.400000,33.988038,33.959553
5.500000,33.256191,33.287108
5.600000,32.657790,32.627979
5.700000,31.949879,31.981902
5.800000,31.379795,31.348618
5.900000,30.694687,30.727874
6.000000,30.152008,30.119421
6.100000,29.488607,29.523017
6.200000,28.972463,28.938422
6.300000,28.329708,28.365403
6.400000,27.839275,27.803730
6.500000,27.216137,27.253179
6.600000,26.750630,26.713530
6.700000,26.146112,26.184567
6.800000,25.704785,25.666078
6.900000,25.117921,25.157855
7.000000,24.700068,24.659696
