dt,error_euler,error_leapfrog
0.0000010000,0.0000100029,0.0000000000
0.0000011498,0.0000114775,0.0000000000
0.0000013219,0.0000132003,0.0000000000
0.0000015199,0.0000152090,0.0000000000
0.0000017475,0.0000174614,0.0000000000
0.0000020092,0.0000201017,0.0000000000
0.0000023101,0.0000231112,0.0000000000
0.0000026561,0.0000265647,0.0000000000
0.0000030539,0.0000305449,0.0000000001
0.0000035112,0.0000351066,0.0000000001
0.0000040370,0.0000403757,0.0000000001
0.0000046416,0.0000464208,0.0000000002
0.0000053367,0.0000533709,0.0000000002
0.0000061359,0.0000613586,0.0000000003
0.0000070548,0.0000705474,0.0000000004
0.0000081113,0.0000811119,0.0000000005
0.0000093260,0.0000932601,0.0000000007
0.0000107227,0.0001072269,0.0000000009
0.0000123285,0.0001232828,0.0000000012
0.0000141747,0.0001417481,0.0000000014
0.0000162975,0.0001629751,0.0000000021
0.0000187382,0.0001873801,0.0000000025
0.0000215443,0.0002154437,0.0000000036
0.0000247708,0.0002477065,0.0000000043
0.0000284804,0.0002848027,0.0000000063
0.0000327455,0.0003274542,0.0000000076
0.0000376494,0.0003764934,0.0000000100
0.0000432876,0.0004328761,0.0000000132
0.0000497702,0.0004977012,0.0000000191
0.0000572237,0.0005722364,0.0000000231
0.0000657933,0.0006579320,0.0000000334
0.0000756463,0.0007564676,0.0000000442
0.0000869749,0.0008697426,0.0000000584
0.0001000000,0.0010000084,0.0000000706
0.0001149757,0.0011497563,0.0000001021
0.0001321941,0.0013219497,0.0000001350
0.0001519911,0.0015198998,0.0000001630
0.0001747528,0.0017475027,0.0000002358
0.0002009233,0.0020092571,0.0000003118
0.0002310130,0.0023100881,0.0000004121
0.0002656088,0.0026560508,0.0000004977
0.0003053856,0.0030537941,0.0000006580
0.0003511192,0.0035112503,0.0000008698
0.0004037017,0.0040370286,0.0000012585
0.0004641589,0.0046416937,0.0000015201
0.0005336699,0.0053368870,0.0000021993
0.0006135907,0.0061356531,0.0000026559
0.0007054802,0.0070548480,0.0000038431
0.0008111308,0.0081115491,0.0000046418
0.0009326033,0.0093261736,0.0000067158
0.0010722672,0.0107235920,0.0000088788
0.0012328467,0.0123277455,0.0000117339
0.0014174742,0.0141748041,0.0000155129
0.0016297508,0.0162946560,0.0000204997
0.0018738174,0.0187386455,0.0000247669
0.0021544347,0.0215408405,0.0000327252
0.0024770764,0.0247696358,0.0000432694
0.0028480359,0.0284774526,0.0000625998
0.0032745492,0.0327345319,0.0000755556
0.0037649358,0.0376599303,0.0001000058
0.0043287613,0.0433008040,0.0001446885
0.0049770236,0.0497603407,0.0001745408
0.0057223677,0.0572009224,0.0002524694
0.0065793322,0.0657466748,0.0003335162
0.0075646333,0.0755829475,0.0004024576
0.0086974900,0.0869050449,0.0005319553
0.0100000000,0.1000834168,0.0007055697
0.0114975700,0.1148546914,0.0009286227
0.0132194115,0.1322589315,0.0012313476
0.0151991108,0.1517370851,0.0016194955
0.0174752840,0.1749354266,0.0021527411
0.0200923300,0.2005726894,0.0028271088
0.0231012970,0.2309908010,0.0037487039
0.0265608778,0.2658497248,0.0049632786
0.0305385551,0.3048068537,0.0071434794
0.0351119173,0.3511583055,0.0086446558
0.0403701726,0.4022785625,0.0124274213
0.0464158883,0.4628479140,0.0164338096
0.0533669923,0.5321137177,0.0216972883
0.0613590727,0.6130688790,0.0287544308
0.0705480231,0.7009395525,0.0341737765
0.0811130831,0.8081830737,0.0498391267
0.0932603347,0.9292165770,0.0657569453
0.1072267222,1.0674091641,0.0787216673
0.1232846739,1.2286826070,0.1040037514
0.1417474163,1.4233956378,0.1528631510
0.1629750835,1.6159531208,0.1783374631
0.1873817423,1.8553310887,0.2338854820
0.2154434690,2.1745258990,0.3520266569
0.2477076356,2.5066107675,0.4233725119
0.2848035868,2.8265429044,0.5895657494
0.3274549163,3.3085593684,0.7987053592
0.3764935807,3.8071908507,1.0478622108
0.4328761281,4.2825273606,1.3180645136
0.4977023564,5.1710906412,1.7147707321
0.5722367659,5.5186880363,1.8937887473
0.6579332247,6.4342436679,2.8539346514
0.7564633276,7.3637106085,3.2237318923
0.8697490026,8.2176032237,4.5033556467
1.0000000000,10.9273410451,7.4479403046
